_dataset,category,n,score_mean,hallucination_rate,e2e_median_ms,empty_rate
results-5-trials-nothrottling,missing_data,100,0.409078,0.5,26090.75,0.01
results-5-trials-nothrottling,stale_data,50,0.431914,0.4,17500.05,0.0
results-5-trials-nothrottling,conflicting_data,75,0.5042,0.17333333333333334,37571.8,0.12
results-5-trials-nothrottling,paraphrase,75,0.7406826666666667,0.14666666666666667,28555.2,0.05333333333333334
results-5-trials-nothrottling,factual_status,200,0.8131905,0.085,30089.449999999997,0.06
results-gemma4,stale_data,20,0.312785,0.6,14906.9,0.3
results-gemma4,factual_status,86,0.630653488372093,0.3488372093023256,22635.3,0.3488372093023256
results-gemma4,conflicting_data,30,0.5699500000000001,0.3,30087.199999999997,0.3
results-gemma4,missing_data,40,0.6272625,0.3,22722.55,0.3
results-gemma4,paraphrase,30,0.6797266666666667,0.3,20956.7,0.3
results-selected-9.05,missing_data,320,0.5495346875,0.39375,22974.0,0.0
results-selected-9.05,stale_data,160,0.562329375,0.29375,15887.349999999999,0.0
results-selected-9.05,paraphrase,240,0.92873125,0.03333333333333333,25891.9,0.0
results-selected-9.05,conflicting_data,240,0.6591358333333334,0.029166666666666667,34967.05,0.0
results-selected-9.05,factual_status,640,0.9499712499999999,0.0046875,25944.050000000003,0.0015625
results-throttling,conflicting_data,75,0.1576,0.7333333333333333,60000.0,0.7333333333333333
results-throttling,missing_data,100,0.3737,0.55,43866.95,0.25
results-throttling,stale_data,50,0.40352599999999994,0.42,34953.95,0.06
results-throttling,factual_status,200,0.5776,0.355,54311.45,0.355
results-throttling,paraphrase,75,0.6677333333333333,0.25333333333333335,51283.2,0.2
