dataset,model,rows,trials,cases,score_mean,score_sd,hallucination_rate,nonhall_score_mean,nonhall_score_sd,e2e_median_ms,e2e_p90_ms,ttft_median_ms,empty_rate,throttling_rate
results-5-trials-nothrottling,gemma3:4b,100,5,20,0.8058840000000004,0.18764158544922552,0.04,0.8394625000000001,0.09059391782767993,31742.300000000003,41890.5,,0.02,0.0
results-5-trials-nothrottling,gemma2:2b,100,5,20,0.6790330000000003,0.34482587409510695,0.19,0.8383123456790124,0.1093154991100485,20879.199999999997,26912.140000000003,,0.0,0.0
results-5-trials-nothrottling,qwen2.5:3b,100,5,20,0.6671560000000002,0.34262476141597464,0.19,0.8236493827160497,0.12151291404975934,29712.9,36667.49,,0.0,0.0
results-5-trials-nothrottling,llama3.2:3b,100,5,20,0.6530550000000003,0.3493449024729549,0.2,0.81631875,0.13407552197681138,27144.800000000003,34454.8,,0.0,0.0
results-5-trials-nothrottling,phi3.5,100,5,20,0.37994999999999995,0.38677212185267984,0.49,0.745,0.13708391590555036,52363.3,60000.0,,0.24,0.0
results-gemma4,batiai/gemma4-e2b:q4,100,5,20,0.871881,0.21741485907932978,0.05,0.9177694736842106,0.08497334009155925,20997.25,28576.860000000008,17459.9,0.0,0.0
results-gemma4,gemma4:e2b,106,7,20,0.33853396226415094,0.4478391052252057,0.6320754716981132,0.9201179487179487,0.07050140301625535,60000.0,60000.0,16697.15,0.6226415094339622,0.0
results-selected-9.05,gemma3:4b,600,30,20,0.8837338333333332,0.13424813222903276,0.011666666666666667,0.8941657672849916,0.09429756537831098,31407.65,41163.55,27387.9,0.0016666666666666668,0.0
results-selected-9.05,llama3.2:3b,200,10,20,0.7320555,0.3479803409074142,0.165,0.8767131736526949,0.13257151039185644,27563.4,34558.69,23383.1,0.0,0.0
results-selected-9.05,gemma2:2b,600,30,20,0.7315156666666667,0.3620068537447219,0.18333333333333332,0.8957334693877551,0.11459532311557603,20866.8,27029.77,17860.1,0.0,0.0
results-selected-9.05,qwen2.5:3b,200,10,20,0.6966635000000001,0.3727511650861947,0.205,0.876306289308176,0.12876305178310293,30185.8,37527.950000000004,23493.1,0.0,0.0
results-throttling,gemma2:2b,100,5,20,0.6931630000000001,0.32203599700133906,0.16,0.8251940476190479,0.11590957459250108,37229.3,48009.21,,0.01,1.0
results-throttling,llama3.2:3b,100,5,20,0.58905,0.39869021352879525,0.3,0.8415,0.11202144592811722,49198.8,60000.0,,0.11,1.0
results-throttling,qwen2.5:3b,100,5,20,0.54705,0.42420043325739026,0.37,0.8683333333333333,0.06206786088499193,53169.1,60000.0,,0.22,1.0
results-throttling,gemma3:4b,100,5,20,0.4966,0.4275067959764624,0.42,0.8562068965517241,0.06425900404399337,57583.85,60000.0,,0.42,1.0
results-throttling,phi3.5,100,5,20,0.023799999999999998,0.11751449512999051,0.96,0.595,0.05066228051190221,60000.0,60000.0,,0.93,1.0
