model,wariant_kwantyzacji,liczba_rekordow,poprawne_generacje,brak_generation_ms,odsetek_trafien_cache,odsetek_pustych_odpowiedzi,rozmiar_gguf_gb,mediana_ttft_ms,p90_ttft_ms,mediana_generacji_ms,p90_generacji_ms,mediana_e2e_ms,p90_e2e_ms,mediana_znakow_odpowiedzi,mediana_ms_na_znak,mediana_tokenow_na_s,q8_mediana_generacji_ms,q8_mediana_ms_na_znak,przyspieszenie_generacji_wzgledem_q8,przyspieszenie_ms_na_znak_wzgledem_q8,udzial_generacji_w_e2e
gemma3-4b,Q2_K,20,20,0,1.0,0.0,1.61,2743.7,3447.37,30767.85,31737.100000000002,33441.6,35115.98,269.5,107.09414956959614,9.337811620737579,8638.75,176.95007451564828,0.2807719746423621,1.6522851642858007,0.9200471867374767
gemma3-4b,Q4_0,20,20,0,1.0,0.0,2.201,2420.1499999999996,3056.2000000000003,6141.15,9501.860000000004,8460.75,12375.540000000005,56.5,107.63755949233212,9.291207797005434,8638.75,176.95007451564828,1.4066990710209,1.6439435764822765,0.7258399078095913
gemma3-4b,Q4_K_M,20,20,0,1.0,0.0,2.319,2378.0,2860.520000000001,5901.35,12288.390000000007,8105.6,15736.620000000008,57.5,105.20803144224197,9.505567686225696,8638.75,176.95007451564828,1.4638599642454693,1.681906524529849,0.7280583793920252
gemma3-4b,Q8_0,20,20,0,1.0,0.0,3.847,2478.65,2945.9100000000003,8638.75,17761.640000000003,10825.1,20813.77,52.5,176.95007451564828,5.6513314319526815,8638.75,176.95007451564828,1.0,1.0,0.7980295794034235
gemma4-e2b,Q2_K,20,9,11,0.45,0.55,2.784,3174.6,4668.58,17203.8,19452.78,21564.7,22126.71,0.0,51.249845201238394,19.51225405800516,5683.15,93.33320707070706,0.3303427149815738,1.8211412484120395,0.7977759950289129
gemma4-e2b,Q4_0,20,20,0,1.0,0.0,3.129,1840.15,2252.2700000000004,4272.450000000001,17834.020000000004,6262.4,19829.280000000002,75.0,60.30727650727651,16.5817494946713,5683.15,93.33320707070706,1.3301852567028283,1.5476276243289768,0.6822384389371489
gemma4-e2b,Q4_K_M,20,20,0,1.0,0.0,3.192,1881.2,2115.35,3401.6,9755.260000000011,5262.95,11844.88000000001,50.0,59.809265734265736,16.719818259721393,5683.15,93.33320707070706,1.6707284807149576,1.5605141766058315,0.6463295300164357
gemma4-e2b,Q8_0,20,20,0,1.0,0.0,4.626,1857.8,2159.85,5683.15,12424.970000000001,7302.4,14396.900000000001,70.5,93.33320707070706,10.714502384867808,5683.15,93.33320707070706,1.0,1.0,0.7782578330411919
bielik-4.5b,Q2_K,20,20,0,1.0,0.0,1.65,8527.75,9610.04,30137.300000000003,33827.020000000004,38929.9,43416.130000000005,193.5,160.21312237026646,6.241698582604914,65554.9,206.15463648002816,2.175208130788093,1.286752504601882,0.7741427540271103
bielik-4.5b,Q4_0,20,20,0,1.0,0.0,2.515,7553.35,8283.109999999999,31881.5,34522.7,39439.3,41514.55,294.0,108.83774372937674,9.188106285793115,65554.9,206.15463648002816,2.0562050091745996,1.8941465471080352,0.8083688097912488
bielik-4.5b,Q4_K_M,20,20,0,1.0,0.0,2.681,7197.1,7988.820000000001,34523.0,35442.54,41677.05,42930.090000000004,287.5,119.63052855371168,8.359218711932371,65554.9,206.15463648002816,1.8988761115777886,1.723261102097939,0.8283455762823904
bielik-4.5b,Q8_0,20,20,0,1.0,0.0,4.714,6521.95,7354.150000000001,65554.9,67012.53,72480.8,73964.65000000001,320.0,206.15463648002816,4.85303244665852,65554.9,206.15463648002816,1.0,1.0,0.9044450392379774
