numer_pytania,id_przypadku,liczba_rekordow,mediana_generacji_ms,mediana_ttft_ms,mediana_znakow_odpowiedzi,brak_generation_ms
1,warm_01,12,4681.0,2325.2,41.0,0
2,warm_02,12,12340.2,2250.85,108.0,0
3,warm_03,12,4050.7,2326.4,42.0,1
4,warm_04,12,12361.199999999999,2428.6,107.0,0
5,warm_05,12,3822.2,2167.6,45.0,1
6,warm_06,12,6240.2,2413.3,43.0,1
7,warm_07,12,10618.9,2925.4,74.0,1
8,warm_08,12,7386.1,1941.0,85.5,1
9,warm_09,12,7771.2,2338.8,63.0,1
10,warm_10,12,10675.650000000001,2499.1499999999996,104.5,0
11,warm_11,12,6225.700000000001,2963.9,46.5,0
12,warm_12,12,12289.7,2465.7,102.0,0
13,warm_13,12,19266.1,3039.0,149.5,1
14,warm_14,12,18290.3,2700.1,225.5,1
15,warm_15,12,10991.1,2866.8,79.0,1
16,warm_16,12,10814.2,2309.4,85.5,1
17,warm_17,12,11035.5,2732.6,96.0,1
18,warm_18,12,15676.25,3332.2,118.0,0
19,warm_19,12,16912.6,2988.2,163.0,0
20,warm_20,12,26814.3,3471.65,252.0,0
