model,wariant_kwantyzacji,rozmiar_gguf_gb,mediana_generacji_ms,q8_mediana_generacji_ms,przyspieszenie_generacji_wzgledem_q8,mediana_ms_na_znak,przyspieszenie_ms_na_znak_wzgledem_q8
gemma3-4b,Q2_K,1.61,30767.85,8638.75,0.2807719746423621,107.09414956959614,1.6522851642858007
gemma3-4b,Q4_0,2.201,6141.15,8638.75,1.4066990710209,107.63755949233212,1.6439435764822765
gemma3-4b,Q4_K_M,2.319,5901.35,8638.75,1.4638599642454693,105.20803144224197,1.681906524529849
gemma3-4b,Q8_0,3.847,8638.75,8638.75,1.0,176.95007451564828,1.0
gemma4-e2b,Q2_K,2.784,17203.8,5683.15,0.3303427149815738,51.249845201238394,1.8211412484120395
gemma4-e2b,Q4_0,3.129,4272.450000000001,5683.15,1.3301852567028283,60.30727650727651,1.5476276243289768
gemma4-e2b,Q4_K_M,3.192,3401.6,5683.15,1.6707284807149576,59.809265734265736,1.5605141766058315
gemma4-e2b,Q8_0,4.626,5683.15,5683.15,1.0,93.33320707070706,1.0
bielik-4.5b,Q2_K,1.65,30137.300000000003,65554.9,2.175208130788093,160.21312237026646,1.286752504601882
bielik-4.5b,Q4_0,2.515,31881.5,65554.9,2.0562050091745996,108.83774372937674,1.8941465471080352
bielik-4.5b,Q4_K_M,2.681,34523.0,65554.9,1.8988761115777886,119.63052855371168,1.723261102097939
bielik-4.5b,Q8_0,4.714,65554.9,65554.9,1.0,206.15463648002816,1.0
