dataset,target,regression,n,r2,adj_r2,aic,bic,error
__ALL__,score_mean,hallucination_only,136,0.9800370291613841,0.9798880517670661,-614.5134901606957,-608.6881803892236,
__ALL__,score_mean,hparams_only,136,0.11245046681855386,0.07116909318220743,-88.44989855296959,-68.06131435281722,
__ALL__,score_mean,model_only,136,0.6990756406359767,0.685079158805092,-235.54823247060722,-215.15964827045485,
__ALL__,score_mean,model_plus_hparams,136,0.7280151558764525,0.7014800491326918,-237.29954481461937,-199.4350313000507,
__ALL__,score_mean,model_plus_hallucination,136,0.9856301295595191,0.9848442772698053,-647.2228666468854,-623.9216275609971,
__ALL__,score_mean,full,136,0.9874692108662623,0.9861339628438148,-653.8473781611979,-613.0702097608931,
__ALL__,nonhall_score_mean,hallucination_only,136,0.6329159771097489,0.6301765441031053,-510.8091691842012,-504.9838594127291,
__ALL__,nonhall_score_mean,hparams_only,136,0.06970011612824134,0.02643035408769434,-374.3405628711564,-353.95197867100404,
__ALL__,nonhall_score_mean,model_only,136,0.7261853223915621,0.7134497559911697,-540.6761069931052,-520.2875227929528,
__ALL__,nonhall_score_mean,model_plus_hparams,136,0.7475852091750315,0.722959375923815,-539.7434862668911,-501.8789727523224,
__ALL__,nonhall_score_mean,model_plus_hallucination,136,0.782031926582824,0.7701117975678222,-569.6981039242897,-546.3968648384014,
__ALL__,nonhall_score_mean,full,136,0.7955564542969198,0.7737714863121653,-566.4098181991845,-525.6326497988798,
__ALL__,hallucination_rate,hparams_only,136,0.10190224119027946,0.06013025240843195,-71.16604451463363,-50.77746031448126,
__ALL__,hallucination_rate,model_only,136,0.657889554637727,0.6419774408999468,-202.42580539753203,-182.03722119737967,
__ALL__,hallucination_rate,model_plus_hparams,136,0.6807881872695034,0.6496455713933573,-199.84771572292993,-161.98320220836126,
__ALL__,e2e_median_ms,hallucination_only,136,0.4384468888254802,0.43425619396596893,2853.8840949896867,2859.7094047611586,
__ALL__,e2e_median_ms,hparams_only,136,0.06740956311669355,0.02403326372677228,2932.871424028014,2953.2600082281665,
__ALL__,e2e_median_ms,model_only,136,0.525375340916452,0.5032997753776822,2841.011335174877,2861.399919375029,
__ALL__,e2e_median_ms,model_plus_hparams,136,0.5507062950601118,0.5068727628708545,2845.55207584061,2883.416589355179,
__ALL__,e2e_median_ms,model_plus_hallucination,136,0.7557724679420528,0.7424162747826337,2752.649671031497,2775.9509101173853,
__ALL__,e2e_median_ms,full,136,0.7659994587631721,0.7410649748608872,2758.8320165920068,2799.6091849923114,
results-selected-9.05,score_mean,hallucination_only,80,0.9921759417885012,0.9920756333498922,-549.7180715459655,-544.9540182766177,
results-selected-9.05,score_mean,hparams_only,80,0.2996696016178554,0.2421081990111037,-180.1701636618472,-163.49597721913003,
results-selected-9.05,score_mean,model_only,80,0.8201341062010572,0.8130341367089937,-294.9174182708482,-285.3893117321527,
results-selected-9.05,score_mean,model_plus_hparams,80,0.8587042029016679,0.8405376004175966,-302.2258977942654,-278.40563144752656,
results-selected-9.05,score_mean,model_plus_hallucination,80,0.9976265007445109,0.9974999141175515,-639.1451137453272,-627.2349805719577,
results-selected-9.05,score_mean,full,80,0.9981832979826154,0.9979200078351683,-648.5325190576727,-622.33022607626,
results-selected-9.05,nonhall_score_mean,hallucination_only,80,0.05367414202413989,0.04154175922957759,-517.3257033286922,-512.5616500593444,
results-selected-9.05,nonhall_score_mean,hparams_only,80,0.10835417524169288,0.035068217042379835,-512.0871411048414,-495.41295466212426,
results-selected-9.05,nonhall_score_mean,model_only,80,0.7014175111331163,0.6896313602567921,-605.6089616661848,-596.0808551274893,
results-selected-9.05,nonhall_score_mean,model_plus_hparams,80,0.7648294554890869,0.7345932426233981,-612.7077830270154,-588.8875166802766,
results-selected-9.05,nonhall_score_mean,model_plus_hallucination,80,0.7123328222062693,0.6969905727239369,-606.5883264703622,-594.6781932969927,
results-selected-9.05,nonhall_score_mean,full,80,0.7745917783242287,0.7419239201103487,-614.0996146576766,-587.8973216762639,
results-selected-9.05,hallucination_rate,hparams_only,80,0.3048511527886286,0.2477156311000227,-166.87465749701607,-150.2004710542989,
results-selected-9.05,hallucination_rate,model_only,80,0.8041431261770244,0.7964119337892754,-274.2140042491637,-264.68589771046817,
results-selected-9.05,hallucination_rate,model_plus_hparams,80,0.8450948860305827,0.8251785142345147,-280.9797158773929,-257.15944953065406,
results-selected-9.05,e2e_median_ms,hallucination_only,80,0.39876342067128445,0.39105525939783936,1539.9243156227728,1544.6883688921207,
results-selected-9.05,e2e_median_ms,hparams_only,80,0.38705575527277514,0.3366767762540991,1551.4671537942563,1568.1413402369735,
results-selected-9.05,e2e_median_ms,model_only,80,0.9814495295332433,0.9807172741200818,1265.6448476974208,1275.1729542361163,
results-selected-9.05,e2e_median_ms,model_plus_hparams,80,0.9848948843810127,0.9829527980871429,1261.2079131646383,1285.0281795113772,
results-selected-9.05,e2e_median_ms,model_plus_hallucination,80,0.9827291028639183,0.9818079883499939,1261.9270627092471,1273.8371958826165,
results-selected-9.05,e2e_median_ms,full,80,0.9853863072541801,0.9832683807692787,1260.5619515118706,1286.7642444932833,
