_dataset,_file,model,trial,n_cases,score_mean,score_sd_cases,hallucination_rate,empty_rate,e2e_median_ms,e2e_p90_ms,ttft_median_ms,temperature,num_ctx,num_predict,top_p,repeat_penalty,nonhall_n,nonhall_score_mean,nonhall_score_sd_cases,pred_score_from_decomposition,decomposition_abs_error
results-5-trials-nothrottling,gemma2_2b_20260509_115110.jsonl,gemma2:2b,1,20,0.6390399999999999,0.3893327374124255,0.25,0.0,21059.85,25109.11,,0.36217808319315375,1024,65,0.8296389588638785,1.0087125418252298,15.0,0.8520533333333333,0.10607908684875954,0.63904,1.1102230246251565e-16
results-5-trials-nothrottling,gemma2_2b_20260509_115110.jsonl,gemma2:2b,2,20,0.67059,0.36249768188006537,0.2,0.0,20947.65,26967.52,,0.7063233020424546,2048,157,0.9581641017520801,1.0318508666017414,16.0,0.8382375,0.12864215936724116,0.67059,0.0
results-5-trials-nothrottling,gemma2_2b_20260509_115110.jsonl,gemma2:2b,3,20,0.66955,0.3571909123910305,0.2,0.0,21863.4,26849.95,,0.22727747704497045,4096,96,0.855333536637628,1.091777934208357,16.0,0.8369375,0.11034358386421932,0.6695500000000001,1.1102230246251565e-16
results-5-trials-nothrottling,gemma2_2b_20260509_115110.jsonl,gemma2:2b,4,20,0.712235,0.3223005336230212,0.15,0.0,20859.55,27974.65000000001,,0.1976457024564293,4096,136,0.8379380186100884,1.0771351657620416,17.0,0.8379235294117647,0.10702793168965148,0.712235,0.0
results-5-trials-nothrottling,gemma2_2b_20260509_115110.jsonl,gemma2:2b,5,20,0.70375,0.31851640212248505,0.15,0.0,20578.2,26087.59,,0.5146901982034298,2048,55,0.9802882520781333,1.144844804961184,17.0,0.8279411764705882,0.10595118604116432,0.70375,0.0
results-5-trials-nothrottling,gemma3_4b_20260509_123020.jsonl,gemma3:4b,1,20,0.751325,0.27213455819347515,0.1,0.05,33014.1,42684.18,,0.36217808319315375,1024,65,0.8296389588638785,1.0087125418252298,18.0,0.8348055555555556,0.09476490087531621,0.751325,0.0
results-5-trials-nothrottling,gemma3_4b_20260509_123020.jsonl,gemma3:4b,2,20,0.840405,0.09117834735459836,0.0,0.0,31706.85,40326.590000000004,,0.7063233020424546,2048,157,0.9581641017520801,1.0318508666017414,20.0,0.840405,0.09117834735459836,0.840405,0.0
results-5-trials-nothrottling,gemma3_4b_20260509_123020.jsonl,gemma3:4b,3,20,0.79603,0.20761669413660006,0.05,0.05,32108.5,41477.5,,0.22727747704497045,4096,96,0.855333536637628,1.091777934208357,19.0,0.8379263157894737,0.09188599725327068,0.79603,0.0
results-5-trials-nothrottling,gemma3_4b_20260509_123020.jsonl,gemma3:4b,4,20,0.8409150000000001,0.09066832136970444,0.0,0.0,31327.85,39006.37,,0.1976457024564293,4096,136,0.8379380186100884,1.0771351657620416,20.0,0.8409150000000001,0.09066832136970444,0.8409150000000001,0.0
results-5-trials-nothrottling,gemma3_4b_20260509_123020.jsonl,gemma3:4b,5,20,0.800745,0.20965121781563525,0.05,0.0,31609.35,41248.62,,0.5146901982034298,2048,55,0.9802882520781333,1.144844804961184,19.0,0.8428894736842105,0.09433377440849089,0.8007449999999999,1.1102230246251565e-16
results-5-trials-nothrottling,llama3_2_3b_20260509_132802.jsonl,llama3.2:3b,1,20,0.60759,0.3840327191378634,0.25,0.0,26555.449999999997,34626.9,,0.36217808319315375,1024,65,0.8296389588638785,1.0087125418252298,15.0,0.81012,0.1560763100903804,0.60759,0.0
results-5-trials-nothrottling,llama3_2_3b_20260509_132802.jsonl,llama3.2:3b,2,20,0.64444,0.3515850700380837,0.2,0.0,27237.05,34138.17,,0.7063233020424546,2048,157,0.9581641017520801,1.0318508666017414,16.0,0.80555,0.1346884305845656,0.64444,0.0
results-5-trials-nothrottling,llama3_2_3b_20260509_132802.jsonl,llama3.2:3b,3,20,0.657555,0.3588426373701108,0.2,0.0,29401.25,32071.430000000004,,0.22727747704497045,4096,96,0.855333536637628,1.091777934208357,16.0,0.82194375,0.13776788193068323,0.657555,0.0
results-5-trials-nothrottling,llama3_2_3b_20260509_132802.jsonl,llama3.2:3b,4,20,0.74108,0.2787957195926041,0.1,0.0,26816.7,32640.040000000005,,0.1976457024564293,4096,136,0.8379380186100884,1.0771351657620416,18.0,0.8234222222222223,0.12280317372578035,0.7410800000000001,1.1102230246251565e-16
results-5-trials-nothrottling,llama3_2_3b_20260509_132802.jsonl,llama3.2:3b,5,20,0.6146100000000001,0.38252676535181995,0.25,0.0,26929.35,32080.06,,0.5146901982034298,2048,55,0.9802882520781333,1.144844804961184,15.0,0.8194800000000001,0.13677530687747907,0.6146100000000001,0.0
results-5-trials-nothrottling,phi3_5_20260509_151130.jsonl,phi3.5,1,20,0.37625000000000003,0.3956968370382878,0.5,0.15,46893.600000000006,60000.0,,0.36217808319315375,1024,65,0.8296389588638785,1.0087125418252298,10.0,0.7525000000000001,0.1263427876849328,0.37625000000000003,0.0
results-5-trials-nothrottling,phi3_5_20260509_151130.jsonl,phi3.5,2,20,0.33975,0.39284547316912494,0.55,0.3,58303.85,60000.0,,0.7063233020424546,2048,157,0.9581641017520801,1.0318508666017414,9.0,0.755,0.11757976016304846,0.33974999999999994,5.551115123125783e-17
results-5-trials-nothrottling,phi3_5_20260509_151130.jsonl,phi3.5,3,20,0.406,0.3905347211466001,0.45,0.3,50685.75,60000.0,,0.22727747704497045,4096,96,0.855333536637628,1.091777934208357,11.0,0.7381818181818183,0.14160283767059062,0.4060000000000001,5.551115123125783e-17
